""	"L617_KO1"	"L618_KO2"	"L619_KO3"	"L620_WT1"	"L621_WT2"	"L622_WT3"	"gene_name"
"ENSMUSG00000083474"	2.63573580090054	1.18293713822124	0.957097277480503	0.609776369701221	1.26218739747371	0	"Gm15267"
"ENSMUSG00000083477"	43.0503514147088	41.4027998377433	42.1122802091421	48.7821095760976	46.7009337065273	30.7882892631637	"Gm5555"
"ENSMUSG00000083482"	14.0572576048029	9.46349710576989	9.57097277480502	10.975974654622	7.57312438484226	3.84853615789547	"Gm14706"
"ENSMUSG00000083483"	4.3928930015009	4.73174855288494	5.74258366488302	6.09776369701221	11.3596865772634	5.13138154386062	"Gm14044"
"ENSMUSG00000083488"	0	0	0	0.609776369701221	0	0	"Gm8534"
"ENSMUSG00000083496"	0.87857860030018	1.18293713822124	0	1.82932910910366	1.26218739747371	2.56569077193031	"Gm11263"
"ENSMUSG00000083500"	3.51431440120072	1.18293713822124	2.87129183244151	0.609776369701221	1.26218739747371	0	"Gm15470"
"ENSMUSG00000083505"	2.63573580090054	0	0	0.609776369701221	0	1.28284538596516	"Gm7541"
"ENSMUSG00000083512"	3.51431440120072	4.73174855288494	1.91419455496101	1.82932910910366	3.78656219242113	1.28284538596516	"Gm12749"
"ENSMUSG00000083520"	0	0	0.957097277480503	0	0	0	"Gm6418"
"ENSMUSG00000083537"	0.87857860030018	0	0	0	0	0	"Gm14942"
"ENSMUSG00000083538"	0.87857860030018	2.36587427644247	0.957097277480503	3.0488818485061	2.52437479494742	1.28284538596516	"Gm16016"
"ENSMUSG00000083544"	6.15005020210126	8.28055996754865	13.399361884727	7.31731643641465	7.57312438484226	6.41422692982578	"Oat-rs1"
"ENSMUSG00000083545"	0.87857860030018	0	0	0	0	0	"Gm13320"
"ENSMUSG00000083549"	0	2.36587427644247	0	0.609776369701221	5.04874958989484	2.56569077193031	"Gm11227"
"ENSMUSG00000083553"	5.27147160180108	5.91468569110618	5.74258366488302	7.31731643641465	2.52437479494742	0	"Gm11989"
"ENSMUSG00000083554"	4.3928930015009	2.36587427644247	8.61387549732452	8.53686917581709	2.52437479494742	8.97991770175609	"Gm6645"
"ENSMUSG00000083555"	0	0	0	0	1.26218739747371	0	"Gm12035"
"ENSMUSG00000083557"	6.15005020210126	3.54881141466371	3.82838910992201	3.0488818485061	11.3596865772634	1.28284538596516	"Gm6877"
"ENSMUSG00000083563"	65.0148164222133	46.1345483906282	37.3267938217396	56.0994260125123	29.0303101418953	29.5054438771986	"Gm13340"
"ENSMUSG00000083567"	3.51431440120072	7.09762282932741	1.91419455496101	7.31731643641465	5.04874958989484	6.41422692982578	"Gm11451"
"ENSMUSG00000083569"	0	1.18293713822124	0	0.609776369701221	0	0	"Gm13666"
"ENSMUSG00000083579"	0.87857860030018	3.54881141466371	1.91419455496101	2.43910547880488	0	1.28284538596516	"Gm15538"
"ENSMUSG00000083580"	0	0	0	0.609776369701221	0	0	"Rpsa-ps3"
"ENSMUSG00000083595"	5.27147160180108	13.0123085204336	9.57097277480502	6.70754006671343	2.52437479494742	1.28284538596516	"Gm9200"
"ENSMUSG00000083596"	0	0	0	0	1.26218739747371	0	"Rpl21-ps15"
"ENSMUSG00000083599"	3.51431440120072	3.54881141466371	2.87129183244151	3.0488818485061	5.04874958989484	1.28284538596516	"Gm12821"
"ENSMUSG00000083603"	0	1.18293713822124	0.957097277480503	0	0	0	"Gm14810"
"ENSMUSG00000083610"	16.6929934057034	5.91468569110618	14.3564591622075	14.6346328728293	12.6218739747371	17.9598354035122	"Gm9329"
"ENSMUSG00000083611"	0	1.18293713822124	0	0	0	0	"Gm8832"
"ENSMUSG00000083614"	0.87857860030018	0	0	0	0	0	"Gm12795"
"ENSMUSG00000083619"	0	0	0.957097277480503	0	0	0	"Gm14414"
"ENSMUSG00000083621"	598.312026804422	635.237243224804	738.879098214948	684.778863174471	652.550884493908	669.645291473811	"Gm14586"
"ENSMUSG00000083623"	0	0	0	1.82932910910366	2.52437479494742	1.28284538596516	"Gm7224"
"ENSMUSG00000083624"	0	0	0	0.609776369701221	0	1.28284538596516	"Gm12469"
"ENSMUSG00000083626"	0.87857860030018	1.18293713822124	0.957097277480503	3.0488818485061	0	1.28284538596516	"Gm4459"
"ENSMUSG00000083627"	5.27147160180108	3.54881141466371	3.82838910992201	4.26843458790854	3.78656219242113	3.84853615789547	"Gm12502"
"ENSMUSG00000083630"	0	0	0	0	1.26218739747371	1.28284538596516	"Gm15602"
"ENSMUSG00000083640"	2.63573580090054	0	1.91419455496101	0.609776369701221	1.26218739747371	1.28284538596516	"Gm8876"
"ENSMUSG00000083645"	0	0	0	0	0	1.28284538596516	"Gm14086"
"ENSMUSG00000083646"	17.5715720060036	21.2928684879822	23.9274319370126	25.00083115775	22.7193731545268	11.5456084736864	"Gm6088"
